Batch	Plate_Map_Name	Assay_Plate_Barcode	Cell_Type
2021_04_17_Batch1	C-7210-01-CMP-015	BR00121328	U2OS
2021_04_17_Batch1	C-7210-01-CMP-015	BR00121329	U2OS
2021_04_17_Batch1	C-7210-01-CMP-015	BR00121330	U2OS
2021_04_17_Batch1	C-7210-01-CMP-015	BR00121331	U2OS
2021_04_17_Batch1	C-7210-01-CMP-015	BR00121332	U2OS
