plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7210-01-CMP-015	A01				DMSO
C-7210-01-CMP-015	A02				DMSO
C-7210-01-CMP-015	A03				DMSO
C-7210-01-CMP-015	A04	BRD-U00088121-001-01-9		4	DMSO
C-7210-01-CMP-015	A05	BRD-U00088012-001-01-9		4	DMSO
C-7210-01-CMP-015	A06	BRD-U00088007-001-01-9		4	DMSO
C-7210-01-CMP-015	A07	BRD-U00088013-001-01-9		4	DMSO
C-7210-01-CMP-015	A08	BRD-U00088008-001-01-9		4	DMSO
C-7210-01-CMP-015	A09	BRD-U00088014-001-01-9		4	DMSO
C-7210-01-CMP-015	A10	BRD-U00088009-001-01-9		4	DMSO
C-7210-01-CMP-015	A11	BRD-U00088011-001-01-9		4	DMSO
C-7210-01-CMP-015	A12	BRD-U00087984-001-01-9		4	DMSO
C-7210-01-CMP-015	A13	BRD-U00088025-001-01-9		4	DMSO
C-7210-01-CMP-015	A14	BRD-U00088019-001-01-9		4	DMSO
C-7210-01-CMP-015	A15	BRD-U00087998-001-01-9		4	DMSO
C-7210-01-CMP-015	A16	BRD-U00087985-001-01-9		1	DMSO
C-7210-01-CMP-015	A17	BRD-U00088028-001-01-9		4	DMSO
C-7210-01-CMP-015	A18	BRD-U00087987-001-01-9		1	DMSO
C-7210-01-CMP-015	A19	BRD-U00088029-001-01-9		4	DMSO
C-7210-01-CMP-015	A20	BRD-U00087996-001-01-9		1	DMSO
C-7210-01-CMP-015	A21	BRD-U00088030-001-01-9		4	DMSO
C-7210-01-CMP-015	A22	BRD-U00087989-001-01-9		4	DMSO
C-7210-01-CMP-015	A23	BRD-U00088027-001-01-9		4	DMSO
C-7210-01-CMP-015	A24				DMSO
C-7210-01-CMP-015	B01				DMSO
C-7210-01-CMP-015	B02				DMSO
C-7210-01-CMP-015	B03				DMSO
C-7210-01-CMP-015	B04	BRD-U00087994-001-01-9		1	DMSO
C-7210-01-CMP-015	B05	BRD-U00088065-001-01-9		1	DMSO
C-7210-01-CMP-015	B06	BRD-U00088024-001-01-9		1	DMSO
C-7210-01-CMP-015	B07	BRD-U00088066-001-01-9		1	DMSO
